Question,Answering,URL,Label,size_of_the_prompt_tokens,number_of_completion_tokens,number_of_ttotal_tokens,total_cost,zero-shot-chatgpt_response
What happens if I do not pay my parking citations? Can you put a hold on my student account?,"After 14 days the citation will increase from overdue charges. In addition, the citation will have a recurring monthly late fee that is added until the balance is paid in full.

Accumulated or overdue parking citations will place a hold on student accounts, thus not allowing a student to receive transcripts or receive their diploma. Faculty and staff may be subject to other disciplinary measures.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I do not have access to your personal information, such as whether you have accumulated parking citations or not. However, I can provide a general answer to your question. 

If you do not pay your parking citations, your city or municipality can take various actions to collect the amount owed. These can include adding late fees and interest, sending the case to a collections agency, and even impounding your vehicle in some cases. 

Regarding the potential impact on your student account, it depends on the policies of your school. Some universities may put a hold on your account and prevent you from accessing certain services or registering for classes if you have outstanding fines or fees. It would be best to consult your school's policies or contact their student accounts office for more information."
"I paid at the Bursar, so why is there still a hold/fee on my account?","Bursar/EZPay payments are transferred to your Parking account the following business day, after which your hold will be removed. If your Parking account does not update within two business days, or you still have a parking hold even with a $0.00 balance, please contact our office. If your Bursar student account and your Parking account do not match for any other reason, please contact our office.",https://services.utdallas.edu/transit/parkfaq/,Parking,0,0,0,0.0,"As an AI language model, I don't have access to your specific account information, but in general, there could be a few reasons why a hold or fee is still present on your account even after you have paid at the Bursar:

1. Processing time: Depending on the payment method and the system used by the Bursar's office, it may take a few days for your payment to be fully processed and reflected on your account.

2. Late fees: If you had an outstanding balance before you made your payment, you may still see a hold or fee on your account if the payment did not cover the entire amount due, including any late fees that may have accrued.

3. Incorrect payment allocation: If you made a payment that was intended for a specific charge or fee on your account, but it was not properly allocated, you may still see a hold on your account for that particular charge.

4. Administrative error: It is possible that there was an administrative error in processing your payment or updating your account information, which could be causing the hold or fee to remain on your account.

In any case, you should contact the Bursar's office to inquire about the hold/fee on your account and clarify any outstanding issues."
How do I audit a course?,"For more information on how to audit a course, please go to audit registration.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"As an AI language model, I don't have experiences that humans have but I will try to answer the question.

To audit a course, you can follow these steps:

1. Contact the university or institution offering the course to inquire about their audit policy and procedures.

2. Register for the course as an auditor rather than a credit-seeking student.

3. Attend classes and participate in discussions as allowed by the instructor.

4. Obtain any course materials or readings that may be required.

5. Take any exams or quizzes if allowed, although they are not typically required for auditors.

6. Obtain a certificate of completion if available.

7. Pay the required tuition or fee for auditing the course.

It is important to note that auditors do not receive any credits or grades for a course, and the course will not count toward a degree or certification program."
What is a hold or a service indicator?,"Holds or service indicators are computerized mechanisms to prevent registration or transcript processing. Some service indicators are positive in nature and will not affect your ability to register or to receive an official transcript. When you have a hold or a negative service indicator affecting your registration or official transcript processing, you need to take steps to resolve the problem. You can check your holds or service indicators online.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"A hold or service indicator is a flag or block placed on a student's academic record, preventing certain actions such as registering for classes or receiving transcripts until certain requirements are met. These holds can be placed for various reasons, such as academic probation, outstanding fees, or missing documents. Service indicators are similar but are used for other areas of the university. For example, a service indicator may be placed on a student's record indicating they need to meet with a financial aid counselor before receiving any new aid."
What is an enrollment appointment?,"During registration periods, the enrollment appointment is your date and time slot you are able to registration for the term. To locate your enrollment appointment, go to your UTD Student Center, Manage My Class tile, Enrollment Appointments page and select the appropriate term. Register for classes after your enrollment appointment begins for the term. Online registration is available until the published last day of late registration.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"An enrollment appointment is a scheduled time for a student to register for courses or classes at a school, college or university. The appointment may be in-person or online and is typically arranged by the institution to ensure that all necessary paperwork, fees, and course selection are completed before the start of the new term. This appointment allows students to meet with academic advisors and register for classes that they need for their degree program."
I withdrew from UT Dallas last semester and I would like to reenter this semester. What do I need to do?,"If you completely withdrew from the previous semester before the 20th class day, the Office of the Registrar strongly recommends that you review your academic record online, ie, update address, transfer credit from another institution.
For undergraduate programs, those who were previously enrolled at UT Dallas, may return to the University by re-applying through Apply Texas.
For graduate programs, complete and submit a re-entry form (PDF). All reentry requests for a semester must be received 10-days prior to the first day of the semester (full-term). If you have not attended UT Dallas in three long (fall and spring) semesters and you left UT Dallas on probationary status, you must apply for readmission.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"As an AI language model, I do not have access to specific information about your academic records. However, here are some steps you can take to reenter UT Dallas this semester:

1. Contact the UT Dallas Office of Admission and Enrollment Services to determine your eligibility to reenter the university. The staff will guide you through the process and determine if there are any particular requirements you need to fulfill.

2. Fill out the readmission application form. This form requires personal information, academic history, and an explanation of why you withdrew from the university.

3. Submit the readmission application form, along with any required transcripts or other documentation, to the Office of Admission and Enrollment Services before the application deadline.

4. After the readmission application is received and reviewed, you may be required to participate in an interview with an academic advisor. During the interview, the advisor will discuss your academic goals and help you prepare for the reentry.

5. Once you complete the readmission process, you are required to register for classes as soon as possible. You can do this online or by contacting the Office of the Registrar.

6. Attend the classes you are registered for and work towards your academic goals. If you need any assistance, feel free to reach out to the different campus resources for help."
"I applied last semester, but I did not come to UT Dallas last semester. I really want to come to UT Dallas for this semester. What do I need to do?","You need to elect to defer your admission. To defer your admission, please complete and submit the deferment form located in Galaxy under Orion Self-Service, then, Admissions Forms Folder.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,You will need to reapply to UT Dallas for the current semester. You should contact the UT Dallas admissions office to inquire about the application deadline and any specific requirements for the semester you wish to attend. It is possible that you may need to submit updated transcripts or other documentation in order to be considered for admission. Be sure to follow all application instructions carefully and submit all required materials by the deadline to maximize your chances of being admitted.
"I have not attended UT Dallas in a long time (beyond a year). And, I was on probation status. What do I need to do?","You must be formally readmitted if you have not taken any classes for three long semesters (fall and spring).

To reapply for admission:

Domestic and International students must complete a new application for admission no later than the published deadline and pay an application fee. Incomplete applications or late applications will be required to register late and pay a late registration fee.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"As an AI language model, I do not have access to individual records or information. However, you can contact the Registrar's Office or the Dean's Office of the school you were previously enrolled in to inquire about your specific situation. They will be able to provide you with information on your status and the steps you need to take to re-enroll or address any probationary issues."
I would like to change my major. What do I need to do?,"Eligible students wishing to change their major/plan/program should review the policy listed in the Academic Catalog.

For undergraduate students: catalog.utdallas.edu/current/undergraduate/policies/degree-plans.
For graduate students: catalog.utdallas.edu/current/graduate/policies/policy#change-of-program.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"As an AI language model, I don't know your current major or the policies at your university. But here are some general steps you can take to change your major:

1. Research - Find out the process and requirements for changing your major at your university. Check the website, academic advisors' office or speak with a counselor.

2. Meet with an academic advisor - Schedule an appointment with an academic advisor in the department you are interested in switching to. Discuss the requirements and coursework to complete requirements for the new major.

3. Complete the necessary paperwork - Your university or department may require you to fill out a form to change your major. Obtain and fill out the form according to the directions.

4. Complete any required coursework - If changing majors requires completed prerequisites, take the required courses so that you can meet the department's application requirements.

5. Follow up - Don't forget to follow up with the department to make sure they received your application and that you are officially accepted into the new major."
How to Complete an “Incomplete”?,"If you are completing work for a previous semester in which a grade of incomplete (I) was received (except thesis and dissertation courses), do not officially register for the course again. An incomplete course grade (grade of I) must be completed within the time period specified by the instructor, not to exceed eight weeks from the first day of the subsequent long semester. If the work is not completed within the limit, the grade will be changed to “F”. Once you have completed and submitted any outstanding work to the instructor, your grade will be brought to the Office of the Registrar by your instructor for processing. For more information see the appropriate catalog.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"1. Understand the reason for the incompleteness: The first step in completing an incomplete is to understand why it was given to you. Was it because you missed a deadline or failed to turn in an assignment?

2. Contact your professor or teacher: It’s important that you reach out to your professor or teacher as soon as possible to discuss what needs to be done to complete the assignment. This will give you a better understanding of what the expectations are and what steps you need to take to complete the assignment.

3. Set a realistic deadline: Once you understand what needs to be done, set a deadline for completing the assignment. Make sure to set a realistic deadline that gives you enough time to complete the work but also ensures that you don’t miss another deadline.

4. Create a plan of action: Create a plan of action for completing the assignment. This includes breaking down the work into smaller manageable tasks and creating a timeline for completing each task.

5. Prioritize your work: It’s important to prioritize your work and focus on the most important tasks first. This will ensure that you complete the assignment in a timely manner and don’t get overwhelmed.

6. Seek help if needed: Don't hesitate to ask for help if you’re struggling to complete the assignment. Seek help from your professor or teacher or reach out to a tutor or classmate.

7. Proofread and revise: Once you complete the assignment, make sure to proofread and revise the work. This will ensure that the work is of high quality and meets the requirements outlined by your teacher or professor.

8. Submit the assignment: Finally, submit the completed assignment on time. Make sure to follow all of the submission guidelines and double-check that everything is complete and accurate."
I am a non-degree student and would like to apply to degree seeking. I don’t want to lose all the credit that I took as non-degree seeking. What do I need to do?,"No more than fifteen hours of applicable non-degree credit may be transferred to a degree program at the University. However, acceptance of credit is at the discretion of the Associate Dean or program head and the University Registrar.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,You should contact the admissions office of the institution you are interested in attending as a degree-seeking student. Explain your situation and ask what the process is for transferring credits from your non-degree program to a degree program. They will likely require transcripts of your previous coursework and may have specific criteria for what courses can be transferred. It's important to start this process early to avoid any potential issues with losing credit or missing application deadlines.
How do I view my end-of-semester grades?,"Students who have access to Galaxy may print end-of-semester grades from their Orion > Self Service > Student Center. To see if grades have been posted to the academic record:

Go to Galaxy
Log in to Orion with your netid and password
On your UTD Student Center Homepage, Click the ‘My Academics’ tile
Select “View My Grades” from the menu
Choose the term",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"As an AI language model, I don't have access to your personal information. However, the process for viewing your end-of-semester grades can vary by school or institution. Typically, grades are posted on an online student portal or learning management system. You may need to log in with your student ID and password to access this information. If you're not sure how to view your grades or you're having trouble accessing them, you can reach out to your school's registrar or academic department for assistance."
Will my grades come in the mail?,"No, semester and midterm grades can be viewed in your UTD Student Center.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"No, typically grades are not mailed. They are usually available through an online portal or given to you by your teacher in person. You should check with your school or teacher for instructions on how to access your grades."
My name is not correct in the system. How do I go about changing it?,"For information on changing names and addresses, please see the catalog.

Preferred Name

The University recognizes that many community members use names other than their primary/legal names to identify themselves. As long as the use of this different name is not for the purpose of misrepresentation, the University acknowledges that a preferred name may be used whenever possible in the course of university business and education.

The student is free to determine the preferred name they wish to be known by in the Orion student information system; however, inappropriate use of the preferred name policy may be cause for denying the request.

The student should send email from their UT Dallas email account to records@utdallas.edu to edit the preferred name.

Q: What is a preferred name? A: Preferred name is a first and or middle name that does not match your Primary/Legal name in the Orion student information system. Currently Preferred Name is defaulted to match the Primary/Legal Name in the Orion student information system.

Q: Where is preferred name displayed? A: In Orion, student preferred name is displayed in your Student Self-Service screen, and on Grade Rosters. The preferred name is also displayed on eLearning grade rosters and Comet Cards.

Q: Can I get a Comet Card issued with my preferred name? A: Yes, Comet Cards can be updated to have preferred name on front and legal name on the back.

Q: Can I get an official transcript, the commencement program, or my diploma issued with my preferred name? A: No, the official transcript, the commencement program, and diploma are issued only with the primary/legal name.

Q: I have more questions regarding preferred name, who can I contact? A: Please email your questions to records@utdallas.edu. A member of the Registrar’s Office staff will respond.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"As an AI language model, I do not have access to specific systems. However, here are general steps you can take to change your name in a system:

1. Contact the system administrator or customer support team and explain that your name is incorrect.

2. Provide them with the correct name and any necessary identification or documentation.

3. Follow their instructions or fill out any forms or documents required to update your name.

4. Verify that your name has been successfully updated in the system."
How do I reserve classroom space on campus?,"For information on reserving classroom space on campus, please see Special Event Room Reservations.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"As an AI language model, I don't know the specific process for reserving classroom space on your campus. However, you can check your school website or contact your school's administration or facilities department to inquire about reserving classroom space on campus. They should be able to provide you with the necessary information and guidelines for reserving classroom space."
Campus Sex Crimes Prevention Act,"The “Campus Sex Crimes Prevention Act” (also known as the Wetterling Act) is a federal law enacted on October 28, 2000 that provides for the tracking of convicted, registered sex offenders enrolled as students at institutions of higher education, or working or volunteering on campus.

This act amends the Family Educational Rights and Privacy Act of 1974 to clarify that nothing in that Act may be construed to prohibit an educational institution from disclosing information provided to the institution concerning registered sex offenders and requires the Secretary of Education to take appropriate steps to notify educational institutions that disclosure of this information is permitted. Information about registered sex offenders may be found on:

The web page for The University of Texas at Dallas
The web page for the City of Richardson
The web page for the Texas Department of Public Safety.",https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"The Campus Sex Crimes Prevention Act (CSCPA) is a federal law that was enacted in 2000. Its purpose is to provide additional protection to individuals who are at risk of being victims of sexual offenses on college campuses. The law requires colleges and universities to provide students with information about the prevalence of sexual offenses on their campus, as well as resources for reporting and responding to such incidents.

Under the CSCPA, colleges and universities are required to:

- Provide students with information about their campus’ policy concerning sexual offenses, including the penalties for such offenses.
- Provide victims of sexual offenses with the option to notify law enforcement authorities.
- Notify campus students and employees when a sexual offender has enrolled or is employed at the institution.
- Provide ongoing prevention and awareness programs for students and employees.
- Report crime statistics pertaining to sexual offenses that occur on their campus to the U.S. Department of Education.

In addition to these requirements, the CSCPA also established the Campus Sex Crimes Prevention Grants Program, which provides funding for colleges and universities to develop and implement programs to prevent and respond to sexual offenses on campus.

The CSCPA was enacted in response to the increasing awareness of the prevalence of sexual offenses on college campuses and the need for greater protection for students. The law has been instrumental in raising awareness of sexual offenses and improving the response of colleges and universities to these incidents."
UT Dallas Annual Security Report,Annual Security Report – 2022 (PDF),https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"As an AI language model, I do not have access to the current UT Dallas Annual Security Report. However, I can provide general information on what this report typically includes.

The UT Dallas Annual Security Report is a federally mandated document that provides information related to campus safety and security policies, procedures, and statistics. The report is compiled by the Office of the Chief of Police and includes data from the previous three calendar years.

The report includes information on crime statistics for various types of crimes, such as burglary, robbery, and sexual assault. It also provides an overview of the university's policies and procedures related to crime prevention, emergency procedures, and victim services.

In addition, the report discusses the university's compliance with the Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act, which requires colleges and universities to provide timely warnings of reported crimes that may pose a threat to the community.

The UT Dallas Annual Security Report is typically available online and is provided to all current students, employees, and prospective students and employees during the hiring and admissions process."
How do I change my preferred pronoun and/or gender identity in Galaxy/Orion?,Refer to the Office of Information Technology’s Knowledge Base article on the topic of Gender Identity and Personal Pronouns.,https://registrar.utdallas.edu/faq/,Registrar,0,0,0,0.0,"As an AI language model, I do not have access to Galaxy/Orion's specific guidelines or policies. However, the best way to change your preferred pronoun and/or gender identity in Galaxy/Orion would be to contact their customer support or seek out their documentation or FAQs on the subject. They may have specific steps or forms that need to be filled out to update your information. It's also possible that they have a chatbot or other support tool that can assist you in making these changes."
I completed my FAFSA a while ago but haven’t heard anything from UT Dallas. What should I do?,"If you submitted your FAFSA to UT Dallas before you were admitted, the Office of Financial Aid will email your UT Dallas email account acknowledging receipt of your FAFSA about one to three days after you are admitted.

If you submit your FAFSA after you are admitted, it will take about 3 to 5 business days for the Office of Financial Aid to receive your FAFSA information from the Department of Education. Once we have received your FAFSA, we will email acknowledgment to your UT Dallas email account.

If you have been admitted and have not received an email to your UT Dallas email account acknowledging receipt of your FAFSA within the timeframes detailed above, you should check your FAFSA online to see if you listed our school code (009741) on it. If you have listed us, you should contact our office at financial-aid@utdallas.edu to request that we check your application status.",https://www.utdallas.edu/costs-scholarships-aid/faq/,"Costs, Scholarships & Aid",0,0,0,0.0,"If you completed your FAFSA and you haven't heard anything from UT Dallas, you should contact their financial aid office. They will be able to give you an update on the status of your application and offer guidance on what to do next. You can reach them by phone, email, or by visiting their office in person. It's important to stay on top of your financial aid application to ensure that you receive the assistance you need in a timely manner."
My current financial situation is different from what was reported on my FAFSA. What should I do?,You may be able to request a special circumstance review. A special circumstance is an event that causes a loss or significant reduction in income or extremely high medical bills not paid by insurance. Special circumstance request forms can be found on the Financial Aid Forms page.,https://www.utdallas.edu/costs-scholarships-aid/faq/,"Costs, Scholarships & Aid",0,0,0,0.0,"If your financial situation has changed significantly from what was reported on your FAFSA, you should contact the financial aid office at your college or university as soon as possible. They may ask you to submit documentation of the changed circumstances, such as a job loss, medical bills, or other unexpected expenses. They will then review your situation and may adjust your financial aid award accordingly. It is important to communicate any changes to your financial situation to your school's financial aid office to ensure that you receive the most accurate and appropriate financial aid package."
"Do I have to complete a new FAFSA every year?
","Yes. Please visit the Deadlines page for financial aid priority deadline information.

",https://www.utdallas.edu/costs-scholarships-aid/faq/,"Costs, Scholarships & Aid",0,0,0,0.0,"Yes, students must complete a new Free Application for Federal Student Aid (FAFSA) every year they wish to receive financial aid. FAFSA information is used to determine eligibility for federal, state, and institutional financial aid programs, and financial circumstances can change from year to year, so it is important to complete a new FAFSA each year."
"Where can I find information regarding University Housing and meal plans?
","The University Housing page has information regarding on-campus living options. The UTD Dining page contains information regarding a variety of meal plan options.

",https://www.utdallas.edu/costs-scholarships-aid/faq/,"Costs, Scholarships & Aid",0,0,0,0.0,"You can find information regarding University Housing and meal plans on the website of the particular university or college that you plan to attend. The university's housing office or student affairs office should have information on the different housing options available, as well as the different meal plans and dining options available. You can also contact the university's admissions office for more information."
"How do I pay my housing and/or meal plan charges?
","You can view your University Housing and meal plan charges on your student account statement via the Bursar Office EZPay page. You may pay those charges directly to the Bursar Office using one of their various payment options.

",https://www.utdallas.edu/costs-scholarships-aid/faq/,"Costs, Scholarships & Aid",0,0,0,0.0,"As an AI language model, I do not have access to your personal information. However, generally, you can pay your housing and/or meal plan charges through the following methods:

1. Online Payment: You can make online payments through the housing or dining portal using a credit/debit card or an electronic check.

2. Mail-In Payment: You can send a check or money order payable to the university's student account office address.

3. In-Person Payment: You can visit the student account office on campus and pay through cash, check, or credit/debit card.

4. Payment Plan: Some universities offer payment plans where you can pay your housing and/or meal plan charges in installments. 

It's best to check with your university's housing or dining office to see what payment methods they accept and any specific instructions they may have."
"What is EZPay?
","EZPay is a Bursar Office website where you can manage your student account finances. Among the services available in EZPay are the ability to view your account balance, set up direct deposit, and enroll in a payment plan.

",https://www.utdallas.edu/costs-scholarships-aid/faq/,"Costs, Scholarships & Aid",0,0,0,0.0,"EZPay is a payment processing system or platform offered by various banks, financial institutions, and online payment providers that allows users or merchants to accept payments and manage transactions from their customers easily. It offers a simple and secure way to process payments for various goods and services, including online purchases, bill payments, subscription fees, and more. Users can set up recurring payments, view transaction history, and monitor account balances in real-time. EZPay simplifies the payment process for both customers and businesses, making it a popular choice for small and large enterprises."
I’d like to make a customer service complaint. Who should I contact?,Please contact the University Book & Tech Store manager at utd@bkstr.com.,https://services.utdallas.edu/bookstore/faq/,Bookstore,0,0,0,0.0,"That would depend on the company or organization you would like to make a complaint to. You can check their website or contact the customer service hotline to ask for the appropriate department or person to contact. Additionally, you can search for the company's customer service email, chat or contact form on their website."
What are the University Book & Tech Store hours?,"Hours change throughout the semester, but you can see the store’s current hours on their website.",https://services.utdallas.edu/bookstore/faq/,Bookstore,0,0,0,0.0,"As an AI language model, I don't have a specific answer to that question as I don't know which university and which location you are referring to. Please provide me with more information about the university and location, so that I can check the store hours for you."
What is the book return policy?,Please see the University Book & Tech Store’s return policy for full details.,https://services.utdallas.edu/bookstore/faq/,Bookstore,0,0,0,0.0,"As an AI language model, I don't have any specific information about a particular store's book return policy. However, generally, book return policies vary by store and depend on factors such as the condition of the book, the reason for the return, and the timeframe for returning the book. It's best to check with the specific store or website for their book return policy."
What is the educational discount on technology purchases?,Educational discounts up to 85% are available on some technology purchases. Please check the University Book & Tech Store’s website or visit the store itself for more details.,https://services.utdallas.edu/bookstore/faq/,Bookstore,0,0,0,0.0,"As an AI language model, I don't have access to the specific information about an educational discount on technology purchases, as it varies from vendor to vendor. However, an educational discount is a reduced price offered by technology vendors such as Apple, Microsoft, and Dell to eligible students, faculty, and staff of educational institutions such as colleges, universities, and K-12 schools. This discount enables them to save money when purchasing computers, other electronic devices, software, and other technology products. It can be as generous as 10-20% or more off the regular price. To qualify for the educational discount on technology purchases, one must provide proof of their status as a student, teacher, or staff of an educational institution."
I cannot arrive by the program start date listed on my I-20. What are my options?,"Your I-20 program start date determines when you can travel to the U.S. You may enter up to the 30 days before the program start date. If you try to enter after the program start date has passed, you may face challenges at the port of entry. The ISSO recommends to defer your admission and Form I-20 to a future semester if you cannot arrive in the U.S. by the start of classes.",https://isso.utdallas.edu/joining-ut-dallas/i20-receive/#faq,F-1: I-20 Application,0,0,0,0.0,"As an AI language model, I am not authorized to provide legal advice on immigration matters. However, in most cases, international students who cannot arrive by the program start date listed on their I-20 should contact their designated school official (DSO) immediately to discuss their options. 

Depending on the circumstances, the DSO may be able to issue a new I-20 with a deferred program start date or advise the student to apply for a new visa. The student may also need to provide a valid reason for their delay, such as a medical emergency or a delay in visa processing.

It is important to note that failing to report to the school or changing the start date without approval from the DSO could result in negative consequences, including ineligibility for future immigration benefits. Therefore, it is always best to communicate with the school and follow their guidance to ensure compliance with immigration regulations."
"I am overseas, is there a deadline to submit my documents to the ISSO so my I-20 is issued?","No, there is no deadline. It is to your advantage to submit your documents as soon as possible so you can receive your I-20 and apply for your visa.",https://isso.utdallas.edu/joining-ut-dallas/i20-receive/#faq,F-1: I-20 Application,0,0,0,0.0,"There is no specific deadline for submitting your documents to the ISSO to receive your I-20. However, it is recommended to submit your documents as early as possible to allow enough time for processing and visa application. It is also important to keep in mind any visa application deadlines set by your intended school or program."
Where can I get information about scholarships and assistantships?,"Visit the Financial Requirements webpage for information on scholarships. To learn more about assistantships, contact your academic department. Please be aware the ISSO does not handle information on availability, eligibility criteria, or application procedures.",https://isso.utdallas.edu/joining-ut-dallas/i20-receive/#faq,F-1: I-20 Application,0,0,0,0.0,"There are many resources online where you can find information about scholarships and assistantships, such as:

1. College or university websites: Visit the website of the college or university you plan to attend and look for information on scholarships and assistantships.

2. Scholarship search engines: Websites such as FastWeb, Scholarships.com, and Cappex offer scholarship and grant searches based on your personal and academic information.

3. Professional organizations: Many professional organizations offer scholarships and assistantships to students who are pursuing careers in their field.

4. Government websites: The U.S. Department of Education, as well as state and local government websites, offer information on scholarships, grants, and financial aid programs.

5. Private foundations and corporations: Private foundations and corporations may offer scholarships and grants to students who meet specific criteria.

6. Financial aid offices: Contact the financial aid office of the college or university you plan to attend for information on scholarships and assistantships that are available."
I am going to finish my degree in less time than listed on my I-20. Can you issue an I-20 with a shorter program length?,"The Department of Homeland Security requires UT Dallas to establish a program length for the I-20s that the ISSO issues. The program length is established by the university, and your I-20 reflects the standard program length. Please note that students at UT Dallas are able to pace their own program completion. The program length is an average. Some students may finish a program in less time, while others may take longer. However, the I-20 must reflect the average length of time.",https://isso.utdallas.edu/joining-ut-dallas/i20-receive/#faq,F-1: I-20 Application,0,0,0,0.0,"As an AI language model, I do not have personal information about you, but in general, if you are studying on an F-1 student visa, you must adhere to the program length listed on your I-20. If you complete your program earlier than the estimated completion date on your I-20, you must notify your designated school official (DSO) and request a program completion date update. Your DSO can issue an updated I-20 with the new program completion date. It is important to follow the proper procedures for updating your I-20 to avoid any potential immigration issues."
The name of my major on my I-20 is different. How can I change it?,"USCIS asks all institutions to use a standard code for all programs. The name of the program as it appears on the I-20 is the name provided by USCIS, and the code for that program is equivalent to the code UT Dallas uses to identify your current program name. You can see the full list of the UTD program names and standardized codes on the Understand Your I-20 webpage. If you have any questions about your program of study, please contact your academic department.",https://isso.utdallas.edu/joining-ut-dallas/i20-receive/#faq,F-1: I-20 Application,0,0,0,0.0,"As an AI language model, I cannot provide you with specific legal advice. However, I can suggest that you contact the international office or designated school official (DSO) at your university to discuss the issue and find out what steps you need to take to update your I-20. They will be able to assist you with the proper procedures to update your I-20 with the correct major."
Where can I get my admission letter?,"You can view your admission letter in your Galaxy portal. If you have questions, contact the Office of Admission and Enrollment at admission@utdallas.edu.",https://isso.utdallas.edu/joining-ut-dallas/i20-receive/#faq,F-1: I-20 Application,0,0,0,0.0,"As an AI language model, I don't have access to specific information about your admission letter. Generally, admission letters are sent by the college or university's admission office via email or by mail. You can contact the admission office of the college or university where you applied, and they will provide information about the status of your application and the location of the admission letter."
What is the timeline for residency review?,"We normally begin reviews for each semester after completing the reviews and cleanup for the previous semester. Depending on volume, that is approximately eight weeks before the beginning of the next semester. 
For Fall: late-May
For Summer: late-March
For Spring: late-October
Once we begin reviews for a semester, documents are processed on a first in – first out basis with priority given to those attending freshman or transfer orientations.
If you are an incoming student attending an orientation, we ask that you submit your Residency Questionnaire or documentation at least one month before your orientation date, so that we can be sure your orientation registration will go smoothly.",https://registrar.utdallas.edu/residence/faq/,Residency,0,0,0,0.0,"As an AI language model, I don't have a specific timeline for residency review in mind. However, typically, the timeline for residency review varies depending on the specific residency program and the requirements of the accrediting organization. Generally, the review process can take several months, and it may involve site visits, interviews with residents and faculty, and a review of documentation such as program policies, resident evaluations, and curriculum materials. The final review decision is typically communicated to the program directors and governing bodies within a few weeks or months after the review is completed."
How do I qualify for Texas residency for tuition purposes?,"You must satisfy one of the following sets of criteria:
Be an applicant or student who:
graduated from a public or accredited private high school in Texas or, as an alternative to high school graduation, receive the equivalent of a high school diploma in Texas, including the successful completion of nontraditional secondary education, and
maintained a residence continuously in Texas for:
the 36 months immediately preceding the date of graduation or receipt of the diploma equivalent, as applicable; and
the 12 months preceding the census date of the academic semester in which you enroll at UT Dallas; or,
Be an applicant or student who:
established domicile in Texas not less than 12 months before the census date of the academic semester in which you enroll at UT Dallas; and
maintained domicile continuously in Texas for the 12 months immediately preceding the census date of the academic semester in which you enroll at UT Dallas; or
Be a dependent whose parent:
established domicile in Texas not less than 12 months before the census date of the academic semester in which the dependent (you) enrolls at UT Dallas; and
maintained domicile continuously in Texas for the 12 months immediately preceding the census date of the academic semester in which the dependent (you) enrolls at UT Dallas.",https://registrar.utdallas.edu/residence/faq/,Residency,0,0,0,0.0,"As an AI language model, I do not have personal experience or the ability to provide legal advice. However, I can provide general information. 

To qualify for Texas residency for tuition purposes, an individual must meet certain criteria as set out by Texas law. Generally, the individual must prove that they have lived in Texas for the 12 consecutive months leading up to the first day of classes for the semester they are seeking residency for. Additionally, they must establish their intent to establish domicile in Texas, which includes factors such as voting, registering a vehicle, obtaining a Texas driver's license, etc. 

There are other criteria that an individual may need to meet depending on their situation, such as proving their financial independence or providing evidence of their status as a US citizen or permanent resident. The best course of action would be to review the criteria listed on the Texas Higher Education Coordinating Board's website or to consult with an attorney."
